company_fyi,ticker,ticker_edgar,ticker_yfinance,yf_name,yf_exchange,cik,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,confidence,mkt_cap_usd,currency,ticker_valid
Ocado,OCDO.L,,OCDO.L,OCADO GROUP PLC ORD 2P,LSE,,2026-02-26,,1000.0,5%,Food,United Kingdom,https://www.theguardian.com/business/2026/feb/26/ocado-to-cut-1000-jobs-in-150m-cost-cutting-drive,yfinance_only,MEDIUM,151337175364.40964,GBp,True
eBay,EBAY,,EBAY,eBay Inc.,NMS,,2026-02-26,,800.0,6%,Retail,Israel,https://www.cnbc.com/2026/02/26/ebay-layoffs-800-workforce.html,yfinance_only,MEDIUM,42094758758.54492,USD,True
Deliveroo,,,,,,,2026-02-25,,187.0,,Food,United Kingdom,https://in.investing.com/news/company-news/doordash-closes-deliveroo-operations-in-qatar-and-singapore-93CH-5256077,yfinance_only,NONE,,,
WiseTech,WTC.AX,,WTC.AX,WISETECH FPO [WTC],ASX,,2026-02-24,,2000.0,30%,Logistics,Australia,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,yfinance_only,MEDIUM,12731179713.385391,AUD,True
TrueCar,TRUE,TRUE,,,,1327318.0,2026-02-24,2023-08-01,100.0,30%,Transportation,United States,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,EDGAR_exact,MEDIUM,,,False
DraftKings,DKNG,,DKNG,DraftKings Inc.,NMS,,2026-02-24,,,,Consumer,United States,https://next.io/news/people/draftkings-reduces-workforce-company-embraces-ai/,yfinance_only,MEDIUM,10985660460.995651,USD,True
Lucid Motors,,,,,,,2026-02-20,,,12%,Transportation,United States,https://techcrunch.com/2026/02/20/lucid-motors-slashes-12-of-its-workforce-as-it-seeks-profitability/,yfinance_only,NONE,,,
Dayforce,DAY,DAY,,,,1725057.0,2026-02-11,2025-02-26,,5%,HR,Canada,Internal memo,EDGAR_exact,MEDIUM,11180042515.18,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2026-02-09,2024-02-28,,,Sales,United States,https://www.businessinsider.com/salesforce-cuts-jobs-executive-changes-2026-2,EDGAR_exact,HIGH,174506885147.09473,USD,True
Workday,WDAY,WDAY,WDAY,"Workday, Inc.",NMS,1327811.0,2026-02-04,2025-02-25,400.0,2%,HR,United States,https://www.bloomberg.com/news/articles/2026-02-04/workday-to-cut-about-400-employees-focused-on-customer-support,EDGAR_exact,HIGH,33940150802.612305,USD,True
Smartsheet,,,,,,,2026-02-04,,,,Other,United States,https://www.geekwire.com/2026/smartsheet-layoffs-enterprise-software-giant-cuts-staff/,yfinance_only,NONE,,,
Zillow,Z,,Z,"Zillow Group, Inc.",NMS,,2026-02-02,,200.0,,Real Estate,United States,https://www.seattletimes.com/business/real-estate/seattle-based-zillow-lays-off-200-employees/,yfinance_only,MEDIUM,9805429978.302906,USD,True
Expedia,EXPE,,EXPE,"Expedia Group, Inc.",NMS,,2026-02-01,,100.0,,Travel,United States,https://finance.yahoo.com/news/expedia-cut-100-jobs-austin-161917994.html?guccounter=1,yfinance_only,MEDIUM,27897514311.541946,USD,True
Peloton,PTON,,PTON,"Peloton Interactive, Inc.",NMS,,2026-01-30,,,11%,Fitness,United States,https://www.reuters.com/business/peloton-cuts-11-staff-including-engineering-teams-bloomberg-news-reports-2026-01-30/,yfinance_only,MEDIUM,1829603168.1556034,USD,True
Gloo,GLOO,,GLOO,"Gloo Holdings, Inc.",NMS,,2026-01-29,,,,Consumer,United States,https://www.bizjournals.com/denver/news/2026/01/29/ai-company-cuts-staff-reduces-executive-salaries.html,yfinance_only,MEDIUM,388927206.2532654,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2026-01-28,,16000.0,,Retail,United States,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,yfinance_only,MEDIUM,2260452366220.8086,USD,True
ASML,ASML,,ASML,ASML Holding N.V. - New York Re,NMS,,2026-01-28,,1700.0,,Hardware,Netherlands,https://www.asml.com/en/news/press-releases/2026/strengthening-focus-on-engineering-and-innovation,yfinance_only,MEDIUM,533921575990.39746,USD,True
Pinterest,PINS,,PINS,"Pinterest, Inc.",NYQ,,2026-01-27,,700.0,15%,Consumer,United States,https://www.theverge.com/news/868531/pinterest-layoffs-cuts-15-percent-ai-transformation,yfinance_only,MEDIUM,12165386041.912598,USD,True
Expedia,EXPE,,EXPE,"Expedia Group, Inc.",NMS,,2026-01-26,,,,Travel,United States,https://www.bizjournals.com/seattle/news/2026/01/26/expedia-layoffs-tech-team-interbay-travel.html,yfinance_only,MEDIUM,27897514311.541946,USD,True
Autodesk,ADSK,ADSK,ADSK,"Autodesk, Inc.",NMS,769397.0,2026-01-22,2025-02-27,1000.0,7%,Other,United States,https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,EDGAR_exact,HIGH,50428438964.84375,USD,True
Shopify,SHOP,,SHOP,Shopify Inc.,NMS,,2026-01-22,,,,Retail,Canada,https://betakit.com/shopify-makes-more-job-cuts-this-time-targeting-partnerships-division/,yfinance_only,MEDIUM,154678504246.48102,USD,True
Vimeo,VMEO,VMEO,,,,1837686.0,2026-01-21,2024-02-21,,,Consumer,United States,https://www.businessinsider.com/vimeo-laying-off-staff-after-billion-sale-to-bending-spoons-2026-1,EDGAR_exact,MEDIUM,,,False
Vimeo,VMEO,VMEO,,,,1837686.0,2026-01-20,2024-02-21,,,Consumer,United States,https://www.calcalistech.com/ctechnews/article/sjtjgbabzx,EDGAR_exact,MEDIUM,,,False
Ericsson,ERIC,,ERIC,Ericsson,NMS,,2026-01-15,,1600.0,,Other,Sweden,https://www.reuters.com/business/world-at-work/ericsson-shed-1600-jobs-sweden-2026-01-15/,yfinance_only,MEDIUM,38518278827.10993,USD,True
Playtika,PLTK,,PLTK,Playtika Holding Corp.,NMS,,2026-01-14,,500.0,15%,Consumer,Israel,https://www.calcalistech.com/ctechnews/article/bkl6xzhswe,yfinance_only,MEDIUM,1039376002.0576138,USD,True
Meta,META,,META,"Meta Platforms, Inc.",NMS,,2026-01-13,,1500.0,2%,Consumer,United States,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,yfinance_only,MEDIUM,1465194362007.3398,USD,True
MercadoLibre,MELI,,MELI,"MercadoLibre, Inc.",NMS,,2026-01-12,,116.0,,Retail,Brazil,https://eleconomista.com.ar/economia/despidos-mercado-libre-entrenamos-ia-nos-reemplazo-n91871,yfinance_only,MEDIUM,87146933457.271,USD,True
FormFactor,FORM,,FORM,"FormFactor, Inc.",NMS,,2026-01-09,,220.0,11%,Manufacturing,United States,https://www.latimes.com/business/story/2026-01-09/bay-area-semiconductor-testing-company-to-lay-off-more-than-200-workers,yfinance_only,MEDIUM,7862700317.114044,USD,True
Angi,ANGI,,ANGI,Angi Inc.,NMS,,2026-01-07,,350.0,,Consumer,United States,https://ir.angi.com/node/12951/html,yfinance_only,MEDIUM,297307462.87877655,USD,True
The Trade Desk,TTD,,TTD,"The Trade Desk, Inc.",NGM,,2025-12-17,,,,Marketing,United States,https://www.adexchanger.com/platforms/the-trade-desk-lays-off-staff-one-year-after-its-last-major-reorg/,yfinance_only,MEDIUM,10461975275.175,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2025-12-15,,84.0,,Retail,United States,https://www.bizjournals.com/seattle/news/2025/12/15/amazon-layoffs-84-february.html,yfinance_only,MEDIUM,2260452366220.8086,USD,True
Zebra Technologies,ZBRA,,ZBRA,Zebra Technologies Corporation,NMS,,2025-12-12,,,,Manufacturing,United States,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,yfinance_only,MEDIUM,10500854899.918884,USD,True
Mobileye,MBLY,,MBLY,Mobileye Global Inc.,NMS,,2025-12-08,,200.0,4%,Transportation,Israel,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,yfinance_only,MEDIUM,6217809276.123448,USD,True
Payoneer,PAYO,,PAYO,Payoneer Global Inc.,NGM,,2025-12-08,,60.0,6%,Finance,United States,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,yfinance_only,MEDIUM,1721606645.9557629,USD,True
Cellebrite,CLBT,,CLBT,Cellebrite DI Ltd.,NMS,,2025-12-03,,20.0,1%,Other,Israel,https://www.calcalistech.com/ctechnews/article/izmghyvm1,yfinance_only,MEDIUM,3462224688.5061216,USD,True
Shopify,SHOP,,SHOP,Shopify Inc.,NMS,,2025-11-26,,,,Retail,Canada,https://www.thecanadianpressnews.ca/business/shopify-lays-off-staff-to-keep-team-fast-sharp-and-focused/article_2b3b4e8c-4531-5e36-a0ad-b02a9f8e6b6a.html,yfinance_only,MEDIUM,154678504246.48102,USD,True
HP,HPQ,HPQ,HP,"Helmerich & Payne, Inc.",NYQ,47217.0,2025-11-25,2019-10-04,4000.0,,Hardware,United States,https://www.wsj.com/tech/hp-to-cut-up-to-10-of-workforce-as-part-of-ai-push-a2c198da?mod=hp_lead_pos4,EDGAR_exact,LOW_CONFLICT,17395807430.16661,USD,True
Playtika,PLTK,,PLTK,Playtika Holding Corp.,NMS,,2025-11-17,,700.0,20%,Consumer,Israel,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,yfinance_only,MEDIUM,1039376002.0576138,USD,True
Synopsys,SNPS,,SNPS,"Synopsys, Inc.",NMS,,2025-11-12,,2000.0,10%,Other,United States,https://www.reuters.com/business/world-at-work/synopsys-cut-about-10-its-workforce-2025-11-12/,yfinance_only,MEDIUM,76000316721.25708,USD,True
Sonder,SONDQ,,SONDQ,Sonder Holdings Inc.,PNK,1819395.0,2025-11-10,2024-02-20,,100%,Travel,United States,https://skift.com/2025/11/10/sonder-shuts-down-after-marriott-termination-marking-the-end-of-a-hospitality-experiment/,EDGAR_exact,MEDIUM,2661.6961327598983,USD,True
Hewlett Packard Enterprise,HPE,,HPE,Hewlett Packard Enterprise Comp,NYQ,,2025-11-05,,52.0,,Hardware,United States,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,yfinance_only,MEDIUM,31864825878.839767,USD,True
TripAdvisor,TRIP,,TRIP,"TripAdvisor, Inc.",NMS,,2025-11-05,,,20%,Travel,United States,https://skift.com/2025/11/05/layoffs-hit-20-of-tripadvisor-viator-and-administrative-staff-scoop/,yfinance_only,MEDIUM,1252088315.1496992,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2025-10-27,,14000.0,1%,Retail,United States,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,yfinance_only,MEDIUM,2260452366220.8086,USD,True
Chegg,CHGG,CHGG,CHGG,"Chegg, Inc.",NYQ,1364954.0,2025-10-27,2024-11-12,388.0,45%,Education,United States,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27/,EDGAR_exact,HIGH,80495062.87858629,USD,True
Medtronic,MDT,,MDT,Medtronic plc.,NYQ,,2025-10-27,,60.0,,Healthcare,United States,https://www.calcalistech.com/ctechnews/article/s1g3z02cgg,yfinance_only,MEDIUM,110491136867.35522,USD,True
Applied Material,AMAT,,AMAT,"Applied Materials, Inc.",NMS,,2025-10-23,,1400.0,4%,Manufacturing,United States,https://www.bloomberg.com/news/articles/2025-10-23/applied-materials-to-cut-4-of-global-staff-after-sales-slow,yfinance_only,MEDIUM,280779161256.97955,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2025-10-23,,600.0,4%,Transportation,United States,https://www.reuters.com/business/autos-transportation/rivian-lay-off-more-than-600-workers-amid-ev-pullback-wsj-reports-2025-10-23/,yfinance_only,MEDIUM,18540386926.91996,USD,True
Meta,META,,META,"Meta Platforms, Inc.",NMS,,2025-10-22,,600.0,,Consumer,United States,https://www.cnbc.com/2025/10/22/meta-layoffs-ai.html,yfinance_only,MEDIUM,1465194362007.3398,USD,True
Broadcom,AVGO,,AVGO,Broadcom Inc.,NMS,,2025-10-17,,247.0,,Hardware,United States,https://www.businessinsider.com/broadcom-layoffs-rifs-cuts-sales-staff-ai-expansion-2025-10,yfinance_only,MEDIUM,1486341876947.008,USD,True
Bill.com,0A75.L,,0A75.L,BILL.COM HOLDINGS INC BILL COM ,LSE,,2025-10-15,,,6%,Finance,United States,https://www.bill.com/blog/a-message-to-bill-employees,yfinance_only,MEDIUM,,,False
Smartsheet,,,,,,,2025-10-02,,120.0,,Other,United States,https://www.geekwire.com/2025/smartsheet-cuts-jobs-shortly-after-departure-of-longtime-ceo/,yfinance_only,NONE,,,
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2025-10-02,,50.0,,Consumer,United States,https://www.sfchronicle.com/tech/article/google-bay-area-layoffs-21081705.php,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Paycom,PAYC,,PAYC,"Paycom Software, Inc.",NYQ,,2025-10-01,,500.0,,HR,United States,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,yfinance_only,MEDIUM,6632659221.960175,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2025-10-01,,100.0,,Consumer,United States,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,yfinance_only,MEDIUM,3567405226165.7715,USD,True
ZipRecruiter,ZIP,ZIP,ZIP,"ZipRecruiter, Inc.",NYQ,1617553.0,2025-09-16,2023-05-31,80.0,,Recruiting,United States,https://www.calcalistech.com/ctechnews/article/pwjukv20s,EDGAR_exact,HIGH,157853007.91251433,USD,True
Fiverr,FVRR,,FVRR,Fiverr International Ltd.,NYQ,,2025-09-15,,250.0,30%,Other,Israel,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,yfinance_only,MEDIUM,364899875.4858856,USD,True
Atlassian,TEAM,,TEAM,Atlassian Corporation,NMS,,2025-09-10,,200.0,,Other,Australia,https://www.ziptone.nl/en/nieuws/atlassian-schrapt-200-customerservicebanen-in-nederland-en-frankrijk/,yfinance_only,MEDIUM,18295927137.774734,USD,True
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2025-09-08,,42.0,,Other,United States,https://www.bizjournals.com/seattle/news/2025/09/08/microsoft-lays-off-dozens-more-employees-in-wa.html,yfinance_only,MEDIUM,2745297298505.8135,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2025-09-05,,200.0,1%,Transportation,United States,https://www.latimes.com/business/story/2025-09-08/rivian-lays-off-employees-new-suv-tax-credits,yfinance_only,MEDIUM,18540386926.91996,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2025-09-04,2024-02-28,262.0,,Sales,United States,https://www.kron4.com/news/bay-area/salesforce-laying-off-262-employees-in-san-francisco-after-ceo-praises-ai/,EDGAR_exact,HIGH,174506885147.09473,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-09-04,,254.0,,Other,United States,https://www.kron4.com/news/technology-ai/oracle-bay-area-layoffs/,yfinance_only,MEDIUM,417688148292.2058,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-09-03,,101.0,,Other,United States,https://www.seattletimes.com/business/cloud-computing-giant-oracle-lays-off-more-seattle-workers/,yfinance_only,MEDIUM,417688148292.2058,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2025-09-03,2024-02-28,93.0,,Sales,United States,https://www.seattletimes.com/business/seattle-area-tech-layoffs-mount-with-salesforce-and-oracle-job-cuts/,EDGAR_exact,HIGH,174506885147.09473,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2025-09-03,2024-02-28,30.0,,Sales,United States,https://www.thejournal.ie/salesforce-ireland-redundancies-6806486-Sep2025/,EDGAR_exact,HIGH,174506885147.09473,USD,True
Vimeo,VMEO,VMEO,,,,1837686.0,2025-09-03,2024-02-21,,10%,Consumer,United States,https://www.linkedin.com/posts/phmoyer_today-we-announced-that-we-will-be-reducing-activity-7369003115422851074-qHt-/,EDGAR_exact,MEDIUM,,,False
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-09-02,,,,Other,United States,https://www.kmbc.com/article/oracle-layoffs-kansas-city-cerner-employees/65961940,yfinance_only,MEDIUM,417688148292.2058,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2025-08-31,2024-02-28,4000.0,,Sales,United States,https://www.businessinsider.com/marc-benioff-says-salesforce-cut-4000-roles-because-of-agents-2025-9,EDGAR_exact,HIGH,174506885147.09473,USD,True
Cisco,CSCO,,CSCO,"Cisco Systems, Inc.",NMS,,2025-08-19,,221.0,,Infrastructure,United States,https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php,yfinance_only,MEDIUM,307908800500.36835,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-08-19,,101.0,,Other,United States,https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php,yfinance_only,MEDIUM,417688148292.2058,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-08-13,,289.0,,Other,United States,https://www.pleasantonweekly.com/business/2025/08/19/dozens-of-pleasanton-workers-hit-by-wave-of-oracle-layoffs/,yfinance_only,MEDIUM,417688148292.2058,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-08-13,,188.0,,Other,United States,https://www.sfchronicle.com/tech/article/oracle-tech-layoffs-20818166.php,yfinance_only,MEDIUM,417688148292.2058,USD,True
Oracle,ORCL,,ORCL,Oracle Corporation,NYQ,,2025-08-13,,161.0,,Other,United States,https://www.geekwire.com/2025/oracle-lays-off-161-employees-in-seattle-as-part-of-broader-reported-cuts-impacting-cloud-business/,yfinance_only,MEDIUM,417688148292.2058,USD,True
F5,FFIV,FFIV,FFIV,"F5, Inc.",NMS,1048695.0,2025-08-13,2023-06-09,106.0,2%,Security,United States,https://www.geekwire.com/2024/f5-confirms-new-round-of-job-cuts-continuing-annual-pattern-of-workforce-reductions/,EDGAR_exact,HIGH,16796198707.402618,USD,True
Micron,MU,,MU,"Micron Technology, Inc.",NMS,,2025-08-12,,300.0,,Hardware,United States,https://www.scmp.com/tech/big-tech/article/3321613/micron-starts-lay-offs-china-us-memory-chipmaker-retreats-mobile-nand-market,yfinance_only,MEDIUM,414836977543.49243,USD,True
Amdocs,DOX,,DOX,Amdocs Limited,NMS,,2025-08-12,,,,Support,United States,https://www.calcalistech.com/ctechnews/article/legpd5dv7,yfinance_only,MEDIUM,7027514889.282074,USD,True
Kaltura,KLTR,KLTR,KLTR,"Kaltura, Inc.",NMS,1432133.0,2025-08-07,2022-11-10,70.0,10%,Media,United States,https://www.calcalistech.com/ctechnews/article/6a8duhohw,EDGAR_exact,HIGH,174020597.64696229,USD,True
Nextdoor,NXDR,,NXDR,"Nextdoor Holdings, Inc.",NYQ,,2025-08-07,,67.0,12%,Consumer,United States,https://www.bloomberg.com/news/articles/2025-08-07/nextdoor-cuts-12-of-workforce-in-quest-for-profitability,yfinance_only,MEDIUM,548951984.4514033,USD,True
Peloton,PTON,,PTON,"Peloton Interactive, Inc.",NMS,,2025-08-07,,,6%,Fitness,United States,https://www.reuters.com/technology/peloton-cut-more-jobs-forecasts-strong-2026-revenue-shares-rise-2025-08-07/,yfinance_only,MEDIUM,1829603168.1556034,USD,True
Atlassian,TEAM,,TEAM,Atlassian Corporation,NMS,,2025-07-30,,150.0,,Other,Australia,https://au.finance.yahoo.com/news/atlassian-billionaire-spruiks-ai-as-ceo-fires-150-workers-over-video-in-scary-digital-revolution-052623412.html,yfinance_only,MEDIUM,18295927137.774734,USD,True
WiseTech,WTC.AX,,WTC.AX,WISETECH FPO [WTC],ASX,,2025-07-23,,,,Logistics,Australia,https://www.reuters.com/world/asia-pacific/australias-wisetech-cut-some-jobs-ai-driven-efficiency-push-2025-07-23/,yfinance_only,MEDIUM,12731179713.385391,AUD,True
Rocket Companies,RKT,,RKT,"Rocket Companies, Inc.",NYQ,,2025-07-18,,,2%,Real Estate,United States,https://www.housingwire.com/articles/rocket-lays-off-2-of-workforce-after-closing-redfin-acquisition/,yfinance_only,MEDIUM,40689936750.64936,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2025-07-17,,,,Retail,United States,https://www.reuters.com/business/retail-consumer/amazons-aws-cloud-computing-unit-cuts-least-hundreds-jobs-sources-say-2025-07-17/,yfinance_only,MEDIUM,2260452366220.8086,USD,True
Lenovo,0992.HK,,0992.HK,LENOVO GROUP,HKG,,2025-07-16,,100.0,3%,Hardware,United States,https://www.newsobserver.com/news/business/article310699130.html,yfinance_only,MEDIUM,120201143440.86781,HKD,True
Jamf,,,,,,,2025-07-15,,166.0,6%,Other,United States,https://www.bizjournals.com/twincities/news/2025/07/16/jamf-lays-off-166-employees.html,yfinance_only,NONE,,,
Intel,INTC,INTC,INTC,Intel Corporation,NMS,50863.0,2025-07-11,2024-08-01,5000.0,,Hardware,United States,https://www.manufacturingdive.com/news/intel-layoffs-surpass-5000-across-California-Oregon-Arizona-Texas/752756/,EDGAR_exact,HIGH,241159115121.67712,USD,True
Nayax,NYAX,,NYAX,Nayax Ltd.,NMS,,2025-07-07,,70.0,6%,Finance,Israel,https://www.calcalistech.com/ctechnews/article/bjzblekrel,yfinance_only,MEDIUM,2157839947.359646,USD,True
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2025-07-02,,9000.0,4%,Other,United States,https://www.cnbc.com/2025/07/02/microsoft-laying-off-about-9000-employees-in-latest-round-of-cuts.html,yfinance_only,MEDIUM,2745297298505.8135,USD,True
TomTom,TOM2.AS,,TOM2.AS,TOMTOM,AMS,,2025-06-30,,300.0,10%,Other,Netherlands,https://www.tomtom.com/newsroom/press-releases/earnings-other/29121/tomtom-advances-its-product-led-strategy-and-realigns-its-organization/,yfinance_only,MEDIUM,536818805.6859002,EUR,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2025-06-26,,140.0,1%,Transportation,United States,https://techcrunch.com/2025/06/26/rivian-cuts-dozens-on-manufacturing-team-ahead-of-r2-launch/,yfinance_only,MEDIUM,18540386926.91996,USD,True
Bumble,BMBL,BMBL,BMBL,Bumble Inc.,NMS,1830043.0,2025-06-25,2024-02-27,240.0,30%,Consumer,United States,https://www.cnbc.com/2025/06/25/bumble-layoffs.html,EDGAR_exact,HIGH,586164701.7703247,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2025-06-24,,75.0,,Consumer,United States,https://www.theinformation.com/articles/google-cuts-smart-tv-budget-doubles-youtube,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Intel,INTC,INTC,INTC,Intel Corporation,NMS,50863.0,2025-06-24,2024-08-01,,,Hardware,United States,https://www.oregonlive.com/silicon-forest/2025/06/intel-will-shut-down-its-automotive-business-lay-off-most-of-the-departments-employees.html,EDGAR_exact,HIGH,241159115121.67712,USD,True
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2025-06-24,,,,Other,United States,https://www.bloomberg.com/news/articles/2025-06-24/microsoft-plans-major-job-cuts-at-xbox-gaming-division?accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzb3VyY2UiOiJTdWJzY3JpYmVyR2lmdGVkQXJ0aWNsZSIsImlhdCI6MTc1MDc3Mjc0NiwiZXhwIjoxNzUxMzc3NTQ2LCJhcnRpY2xlSWQiOiJTWUQ0VkxEV1JHRzAwMCIsImJjb25uZWN0SWQiOiJCMUVBQkI5NjQ2QUM0REZFQTJBRkI4MjI1MzgyQTJFQSJ9.iMkVuxzB6m6hT_Rpwa-NQCTCvDapSt1DaRfpnGaqUSw&embedded-checkout=true&leadSource=uverify%20wall,yfinance_only,MEDIUM,2745297298505.8135,USD,True
Intel,INTC,INTC,INTC,Intel Corporation,NMS,50863.0,2025-06-17,2024-08-01,,,Hardware,Israel,https://www.calcalistech.com/ctechnews/article/pgg42xgob,EDGAR_exact,HIGH,241159115121.67712,USD,True
ZoomInfo,GTM,,GTM,ZoomInfo Technologies Inc.,NMS,,2025-06-09,,150.0,4%,Sales,Canada,https://www.oregonlive.com/silicon-forest/2025/06/zoominfo-one-of-portland-areas-most-valuable-companies-will-cut-200-jobs.html,yfinance_only,MEDIUM,1785973644.1348338,USD,True
Playtika,PLTK,,PLTK,Playtika Holding Corp.,NMS,,2025-06-05,,90.0,,Consumer,Israel,https://www.calcalistech.com/ctechnews/article/hjhutnrggg,yfinance_only,MEDIUM,1039376002.0576138,USD,True
